ccaa;gender;diputado;grupo;partido;provincia;legislatura;cargo;handle;;twitter account;;Partido gobierno autonomico;gobierno_auto;gobierno_central;
EXT;1;Teniente Sánchez, Cristina Elena ;Popular ;PP; CÁCERES;IX;Portavoz;;;;;PSOE-SIEX;0;1;
EXT;1;Ugalde Ortíz, María de los Ángeles ;Socialista ;PSOE-SIEX; BADAJOZ;IX;;;;UgaldeOrtiz;;PSOE-SIEX;1;0;
EXT;0;Vázquez Velayos, Hugo ;Socialista ;PSOE-SIEX; BADAJOZ;IX;;;;HugoVelayos;;PSOE-SIEX;1;0;
EXT;0;Vegas Jiménez, Celestino ;Socialista ;PSOE-SIEX; BADAJOZ;IX;;;;celestinovegasj;;PSOE-SIEX;1;0;
AND;1;Alarcón Mañas, María del Rosario;Popular Andaluz;PP;CÓRDOBA;X; ;;;Rampppp;;PSOE;0;1;
AND;1; Albás Vives, María Isabel;Ciudadanos;CIUDADANOS;CÓRDOBA;X; ;;;isabelalbas;;PSOE;0;0;
AND;0; Aragón Ariza, Francisco Javier;Socialista;PSOE;GRANADA;X; ;;;JAragonAriza;;PSOE;1;0;
AND;1; Arrabal Higuera, Rocío;Socialista;PSOE;CÁDIZ;X; ;;;ArrabalRocio;;PSOE;1;0;
AND;1; Ayala Asensio, Lucía;Podemos Andalucía;PODEMOS;ALMERÍA;X; ;;;Lucia_Andalucia;;PSOE;0;0;
AND;1; Barranco Rodríguez, Mercedes;Podemos Andalucía;PODEMOS;JAÉN;X; ;;;Mer_barranco;;PSOE;0;0;
AND;1; Benítez Gálvez, Libertad;Podemos Andalucía;PODEMOS;CÁDIZ;X; ;;;libertadbenitez;;PSOE;0;0;
AND;1; Bosquet Aznar, Marta;Ciudadanos;CIUDADANOS;ALMERÍA;X;Portavoz Adjunta ;;;martabosquet;;PSOE;0;0;
AND;0; Bueno Navarro, Juan Francisco;Popular Andaluz;PP;SEVILLA;X; ;;;juanbuenopp;;PSOE;0;1;
AND;1; Bustinduy Barrero, María Luisa;Socialista;PSOE;MÁLAGA;X; ;;;;;PSOE;1;0;
AND;0; Campos López, Daniel;Socialista;PSOE;JAÉN;X; ;;;danicamposlopez;;PSOE;1;0;
AND;1; Carazo Villalonga, María Francisca;Popular Andaluz;PSOE;GRANADA;X;Portavoz Adjunta ;;;marifrangr;;PSOE;1;0;
AND;0; Castellano Gámez, Miguel;Socialista;PSOE;GRANADA;X; ;;;micastell;;PSOE;1;0;
AND;0; Castro Román, José Antonio;Izquierda Unida Los Verdes-Convocatoria por Andalucía;IULV-CA;MÁLAGA;X;Vocal Mesa Parlamento;;;jacastro1974;;PSOE;0;0;
AND;1; Céspedes Senovilla, Carmen;Popular Andaluz;PP;HUELVA;X; ;;;cespedeshuelva;;PSOE;0;1;
AND;0; Cornejo López, Juan María;Socialista;PSOE;CÁDIZ;X; ;;;jmariacl;;PSOE;1;0;
AND;1; Cortés Jiménez, Elena;Izquierda Unida Los Verdes-Convocatoria por Andalucía;IULV-CA;CÓRDOBA;X;Portavoz Adjunta ;;;ElenaCortesIU;;PSOE;0;0;
AND;1; Crespo Díaz, María del Carmen;Popular Andaluz;PP;ALMERÍA;X;Portavoz ;;;CarmenCrespoPP;;PSOE;0;1;
AND;1; Cruz Martínez, Noemí;Socialista;PSOE;ALMERÍA;X; ;;;Noemi_Cruz_M;;PSOE;1;0;
AND;0; de Manuel Jerez, Jesús Alberto;Podemos Andalucía;PODEMOS;GRANADA;X; ;;;JdMJerez;;PSOE;0;0;
AND;1; del Pozo Fernández, Patricia;Popular Andaluz;PP;SEVILLA;X;Secretaria segunda mesa parlamento;;;PP_PatriciaPozo;;PSOE;0;1;
AND;1; Díaz Pacheco, Susana;Socialista;PSOE;SEVILLA;X; ;;;susanadiaz;;PSOE;1;0;
AND;0; Díaz Robledo, Julio Jesús;Ciudadanos;CIUDADANOS;HUELVA;X;Secretario tercero mesa parlamento;;;juliojdiaztw;;PSOE;0;0;
AND;0; Durán Sánchez, Juan Pablo;Socialista;PSOE;CÓRDOBA;X;Presidente parlamento;;;jpduran;;PSOE;1;0;
AND;1; Escrivá Torralva, Marta;Ciudadanos;CIUDADANOS;SEVILLA;X; ;;;MartaEscriva_Cs;;PSOE;0;0;
AND;1; Espinosa López, Rosalía Ángeles;Popular Andaluz;PP;ALMERÍA;X; ;;;rosaliaespinosa;;PSOE;0;1;
AND;0; Fernández Ferrera, Francisco Jesús;Socialista;PSOE;HUELVA;X; ;;;;;PSOE;1;0;
AND;0; Fernández Hernández, Francisco Javier;Socialista;PSOE;SEVILLA;X; ;;;JaviFernandezHd;;PSOE;1;0;
AND;0; Ferreira Siles, Juan Ramón;Popular Andaluz;PP;GRANADA;X; ;;;JRFerreiraSiles;;PSOE;0;1;
AND;0; Ferrera Limón, Diego;Socialista;PSOE;HUELVA;X; ;;;DFerreraLimon;;PSOE;1;0;TWITTER ACCOUNT: ParlamentoAnd
AND;1; Férriz Gómez, María de los Ángeles;Socialista;PSOE;JAÉN;X; ;;;angelesferriz;;PSOE;1;0;
AND;0; Funes Arjona, José Antonio;Ciudadanos;CIUDADANOS;GRANADA;X; ;;;joseafunes_;;PSOE;0;0;
AND;0; García Anguita, Miguel Ángel;Popular Andaluz;PP;JAÉN;X; ;;;GarciaAnguita;;PSOE;0;1;
