"","name","proportion_male"
"526","Argelia",0
"527","Argentina",0
"528","Ari",0.7967
"529","ARi",0.7967
"530","ari",0.7967
"531","aria",0.0192
"532","Ariadna",0
"533","ariadna",0
"534","Ariadne",0
"535","Ariana",0.0012
"536","arias",0.8811
"537","Arias",0.8811
"538","ARIAS",0.8811
"539","Ariel",0.1986
"540","ariel",0.1986
"541","Arien",0.5972
"542","Aries",0.5882
"543","Arif",1
"544","Aris",0.5472
"545","aristides",1
"546","ARISTIDES",1
"547","Aristides",1
"548","Aritza",0
"549","Arjen",1
"550","Arkady",1
"551","Arman",1
"552","Armand",1
"553","armand",1
"554","Armando",0.9988
"555","armando",0.9988
"556","ArmandO",0.9988
"557","ArManDo",0.9988
"558","Armin",1
"559","Arminda",0
"560","Arnaldo",1
"561","arnaldo",1
"562","arnold",1
"563","Arnoldo",1
"564","aro",1
"565","Aro",1
"566","Aron",0.9986
"567","Arpa",0
"568","Arran",1
"569","Arriana",0
"570","Arrow",0.7798
"571","Arsenio",1
"572","Arslan",1
"573","Art",1
"574","ART",1
"575","Artemio",1
"576","Artemis",0.1961
"577","Artemisa",0
"578","Arther",1
"579","Arthur",1
"580","Arthuro",1
"581","Arti",0
"582","Artur",1
"583","artur",1
"584","Arturo",0.9994
"585","ARTURO",0.9994
"586","arturo",0.9994
"587","Arwen",0
"588","Ary",0.72
"589","Arya",0.285
"590","arya",0.285
"591","Asante",0.8171
"592","asdrubal",1
"593","aseret",0
"594","Aseret",0
"595","Ash",0.978
"596","Ashia",0
"597","Asier",1
"598","asier",1
"599","ASIER",1
"600","Asis",1
"601","asis",1
"602","Aslan",0.8837
"603","Asley",0
"604","Aspasia",0
"605","Assaf",1
"606","Aster",0
"607","Aston",0.9651
"608","Astrid",0
"609","Asuncion",0.6494
"610","asuncion",0.6494
"611","Ata",1
"612","Athenea",0
"613","athenea",0
"614","Atilano",1
"615","atilano",1
"616","Atilla",1
"617","ATLANTIS",0.0432
"618","Atreyu",1
"619","Atticus",0.9956
"620","Audrey",0.0019
"621","Audry",0
"622","August",0.8157
"623","august",0.8157
"624","Augusto",1
"625","AUGUSTO",1
"626","augusto",1
"627","Aurea",0
"628","aurelia",0
"629","AURELIA",0
"630","Aurelia",0
"631","Aureliano",1
"632","Aurelio",1
"633","aurelio",1
"634","Auri",0.0646
"635","auri",0.0646
"636","auRi",0.0646
"637","Auria",0
"638","Aurora",0
"639","aurora",0
"640","AURORA",0
"641","Aurore",0
"642","Aury",0
"643","Australia",0
"644","Austria",0
"645","Autumn",0.0017
"646","AVA",0.0013
"647","Ava",0.0013
"648","Avalon",0.0032
"649","Ave",0
"650","ave",0
"651","Avelina",0
"652","avelino",1
"653","Avelino",1
"654","avi",0.8242
"655","Avi",0.8242
"656","Avila",0
"657","Avis",0.2033
"658","Awesome",1
"659","Axa",0
"660","AXEL",0.9956
"661","Axel",0.9956
"662","axel",0.9956
"663","Aya",0
"664","Aye",0
"665","aye",0
"666","Ayelen",0
"667","AYLA",0
"668","Ayla",0
"669","AYN",0
"670","Ayoub",1
"671","Ayra",0
"672","Ayrton",1
"673","ayrton",1
"674","Azalea",0
"675","Azar",1
