ccaa;gender;diputado;grupo;partido;provincia;legislatura;cargo;handle;;twitter account;;;
AND;0; Bueno Navarro, Juan Francisco;Popular Andaluz;PP;SEVILLA;X; ;;;juanbuenopp;;;
AND;1; Bustinduy Barrero, María Luisa;Socialista;PSOE;MÁLAGA;X; ;;;;;;
AND;0; Campos López, Daniel;Socialista;PSOE;JAÉN;X; ;;;danicamposlopez;;;
AND;1; Carazo Villalonga, María Francisca;Popular Andaluz;PSOE;GRANADA;X;Portavoz Adjunta ;;;marifrangr;;;
AND;0; Castellano Gámez, Miguel;Socialista;PSOE;GRANADA;X; ;;;micastell;;;
AND;0; Castro Román, José Antonio;Izquierda Unida Los Verdes-Convocatoria por Andalucía;;MÁLAGA;X;Vocal Mesa Parlamento;;;jacastro1974;;;
AND;1; Céspedes Senovilla, Carmen;Popular Andaluz;PP;HUELVA;X; ;;;cespedeshuelva;;;
AND;0; Cornejo López, Juan María;Socialista;PSOE;CÁDIZ;X; ;;;jmariacl;;;
AND;1; Cortés Jiménez, Elena;Izquierda Unida Los Verdes-Convocatoria por Andalucía;;CÓRDOBA;X;Portavoz Adjunta ;;;ElenaCortesIU;;;
AND;1; Crespo Díaz, María del Carmen;Popular Andaluz;PP;ALMERÍA;X;Portavoz ;;;CarmenCrespoPP;;;
AND;1; Cruz Martínez, Noemí;Socialista;PSOE;ALMERÍA;X; ;;;Noemi_Cruz_M;;;
AND;0; de Manuel Jerez, Jesús Alberto;Podemos Andalucía;PODEMOS;GRANADA;X; ;;;JdMJerez;;;
AND;1; del Pozo Fernández, Patricia;Popular Andaluz;PP;SEVILLA;X;Secretaria segunda mesa parlamento;;;PP_PatriciaPozo;;;
AND;1; Díaz Pacheco, Susana;Socialista;PSOE;SEVILLA;X; ;;;susanadiaz;;;
AND;0; Díaz Robledo, Julio Jesús;Ciudadanos;CIUDADANOS;HUELVA;X;Secretario tercero mesa parlamento;;;juliojdiaztw;;;
AND;0; Durán Sánchez, Juan Pablo;Socialista;PSOE;CÓRDOBA;X;Presidente parlamento;;;jpduran;;;
AND;1; Escrivá Torralva, Marta;Ciudadanos;CIUDADANOS;SEVILLA;X; ;;;MartaEscriva_Cs;;;
AND;1; Espinosa López, Rosalía Ángeles;Popular Andaluz;PP;ALMERÍA;X; ;;;rosaliaespinosa;;;
AND;0; Fernández Ferrera, Francisco Jesús;Socialista;PSOE;HUELVA;X; ;;;;;;
AND;0; Fernández Hernández, Francisco Javier;Socialista;PSOE;SEVILLA;X; ;;;JaviFernandezHd;;;
AND;0; Ferreira Siles, Juan Ramón;Popular Andaluz;PP;GRANADA;X; ;;;JRFerreiraSiles;;;
AND;0; Ferrera Limón, Diego;Socialista;PSOE;HUELVA;X; ;;;DFerreraLimon;;;TWITTER ACCOUNT: ParlamentoAnd
AND;1; Férriz Gómez, María de los Ángeles;Socialista;PSOE;JAÉN;X; ;;;angelesferriz;;;
